ID_ARTIST,NAME,LASTNAME,NICKNAME,BIRTHDAY,FIRST_TRACK_DATE,NATIONALITY,PHOTO_ARTIST
1,Ariana,Grande-Butera,"Ariana Grande",1993-06-26,2013-03-28,USA,...
2,"Edward Christopher",Sheeran,"Ed Sheeran",1991-02-17,2010-04-22,UK,...
3,"Curtis James",Jackson,"50 Cent",1975-07-06,1999-01-01,USA,...
4,"Marshall Bruce",Mathers,Eminem,1972-10-17,2000-10-15,USA,...
5,"Athanasios ",Rouvas,"Sakis Rouvas",1972-01-05,1992-10-08,Greece,...
6,Ioannis,Kakosaios,"Giannis Ploutarxos",1970-12-18,1998-03-07,Greece,...
7,Daniel,Rocco,"Des Rocs",1998-05-23,2018-03-15,USA,...
8,George,Barnett,"These New Puritans",1988-08-09,2010-09-06,UK,...
9,"Peter ",Anastasopoulos,"Mad Clip",1987-05-25,2013-05-20,USA,...
10,"Karla Camila","Cabello Estrabao","Camila Cabello",1997-03-03,2012-06-09,Cuba,...
11,"Justin Randall",Timberlake,"Justin Timberlake",1981-01-31,1992-08-03,USA,...
12,"Malcolm James",McCormick,"Mac Miller",1992-01-19,2007-07-25,USA,...
13,"Florian Cloud de Bounevialle O' Malley",Armstrong,Dido,1971-12-25,1995-03-06,UK,...
14,"Olivia Theresa",Longott,Olivia,NULL,2000-09-06,USA,...
